// -----------------------------------------------------------------------------
// HYPER-BYTE TOPOLOGY EXPORT
// -----------------------------------------------------------------------------
// Generated: 2025-12-20T12:39:31.824Z
// Geometry:  16x16 Matrix (0..255) mapped to 4 Attractor Basins.
// Hierarchy: ROOT(4) -> DOMAIN(12) -> SECTION(48) -> LEAF(192)
// Logic:     Parent = ((Child << 1) & 0xF0) | ((Child >>> 1) & 0x0F)
// -----------------------------------------------------------------------------
value,hex,bin,classes,symmetry,center,root,depth,inverse,reverse,opposite,ones,zeros,entropy,balance
131,0x83,10000011,UNBALANCED|SECTION,UNBALANCED_OTHER,1,0,2,124,193,56,3,5,0.954434,0.375
70,0x46,01000110,UNBALANCED|LEAF,UNBALANCED_OTHER,131,0,3,185,98,100,3,5,0.954434,0.375
71,0x47,01000111,BALANCED|LEAF,BALANCED_EDGE,131,0,3,184,226,116,4,4,1,0.5
198,0xc6,11000110,BALANCED|LEAF,BALANCED_EDGE,131,0,3,57,99,108,4,4,1,0.5
199,0xc7,11000111,UNBALANCED|LEAF,UNBALANCED_OTHER,131,0,3,56,227,124,5,3,0.954434,0.625
128,0x80,10000000,UNBALANCED|DOMAIN,UNBALANCED_EDGE,0,0,1,127,1,8,1,7,0.54356444,0.125
64,0x40,01000000,UNBALANCED|SECTION,UNBALANCED_EDGE,128,0,2,191,2,4,1,7,0.54356444,0.125
32,0x20,00100000,UNBALANCED|LEAF,UNBALANCED_EDGE,64,0,3,223,4,2,1,7,0.54356444,0.125
33,0x21,00100001,UNBALANCED|LEAF,UNBALANCED_OTHER,64,0,3,222,132,18,2,6,0.81127812,0.25
160,0xa0,10100000,UNBALANCED|LEAF,UNBALANCED_OTHER,64,0,3,95,5,10,2,6,0.81127812,0.25
161,0xa1,10100001,UNBALANCED|LEAF,UNBALANCED_OTHER,64,0,3,94,133,26,3,5,0.954434,0.375
65,0x41,01000001,UNBALANCED|SECTION,UNBALANCED_OTHER,128,0,2,190,130,20,2,6,0.81127812,0.25
34,0x22,00100010,UNBALANCED|TWIN|LEAF,UNBALANCED_TWIN,65,0,3,221,68,34,2,6,0.81127812,0.25
35,0x23,00100011,UNBALANCED|LEAF,UNBALANCED_OTHER,65,0,3,220,196,50,3,5,0.954434,0.375
162,0xa2,10100010,UNBALANCED|LEAF,UNBALANCED_OTHER,65,0,3,93,69,42,3,5,0.954434,0.375
163,0xa3,10100011,BALANCED|LEAF,BALANCED_EDGE,65,0,3,92,197,58,4,4,1,0.5
192,0xc0,11000000,UNBALANCED|SECTION,UNBALANCED_OTHER,128,0,2,63,3,12,2,6,0.81127812,0.25
96,0x60,01100000,UNBALANCED|LEAF,UNBALANCED_OTHER,192,0,3,159,6,6,2,6,0.81127812,0.25
97,0x61,01100001,UNBALANCED|LEAF,UNBALANCED_OTHER,192,0,3,158,134,22,3,5,0.954434,0.375
224,0xe0,11100000,UNBALANCED|LEAF,UNBALANCED_OTHER,192,0,3,31,7,14,3,5,0.954434,0.375
225,0xe1,11100001,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,192,0,3,30,135,30,4,4,1,0.5
193,0xc1,11000001,UNBALANCED|SECTION,UNBALANCED_OTHER,128,0,2,62,131,28,3,5,0.954434,0.375
98,0x62,01100010,UNBALANCED|LEAF,UNBALANCED_OTHER,193,0,3,157,70,38,3,5,0.954434,0.375
99,0x63,01100011,BALANCED|LEAF,BALANCED_EDGE,193,0,3,156,198,54,4,4,1,0.5
226,0xe2,11100010,BALANCED|LEAF,BALANCED_EDGE,193,0,3,29,71,46,4,4,1,0.5
227,0xe3,11100011,UNBALANCED|LEAF,UNBALANCED_OTHER,193,0,3,28,199,62,5,3,0.954434,0.625
129,0x81,10000001,UNBALANCED|MIRROR|DOMAIN,UNBALANCED_OTHER,0,0,1,126,129,24,2,6,0.81127812,0.25
66,0x42,01000010,UNBALANCED|MIRROR|SECTION,UNBALANCED_OTHER,129,0,2,189,66,36,2,6,0.81127812,0.25
36,0x24,00100100,UNBALANCED|MIRROR|LEAF,UNBALANCED_OTHER,66,0,3,219,36,66,2,6,0.81127812,0.25
37,0x25,00100101,UNBALANCED|LEAF,UNBALANCED_OTHER,66,0,3,218,164,82,3,5,0.954434,0.375
164,0xa4,10100100,UNBALANCED|LEAF,UNBALANCED_OTHER,66,0,3,91,37,74,3,5,0.954434,0.375
165,0xa5,10100101,BALANCED|SHADOW|MIRROR|LEAF,BALANCED_SHADOW,66,0,3,90,165,90,4,4,1,0.5
67,0x43,01000011,UNBALANCED|SECTION,UNBALANCED_OTHER,129,0,2,188,194,52,3,5,0.954434,0.375
38,0x26,00100110,UNBALANCED|LEAF,UNBALANCED_OTHER,67,0,3,217,100,98,3,5,0.954434,0.375
39,0x27,00100111,BALANCED|LEAF,BALANCED_EDGE,67,0,3,216,228,114,4,4,1,0.5
166,0xa6,10100110,BALANCED|LEAF,BALANCED_EDGE,67,0,3,89,101,106,4,4,1,0.5
167,0xa7,10100111,UNBALANCED|LEAF,UNBALANCED_OTHER,67,0,3,88,229,122,5,3,0.954434,0.625
194,0xc2,11000010,UNBALANCED|SECTION,UNBALANCED_OTHER,129,0,2,61,67,44,3,5,0.954434,0.375
100,0x64,01100100,UNBALANCED|LEAF,UNBALANCED_OTHER,194,0,3,155,38,70,3,5,0.954434,0.375
101,0x65,01100101,BALANCED|LEAF,BALANCED_EDGE,194,0,3,154,166,86,4,4,1,0.5
228,0xe4,11100100,BALANCED|LEAF,BALANCED_EDGE,194,0,3,27,39,78,4,4,1,0.5
229,0xe5,11100101,UNBALANCED|LEAF,UNBALANCED_OTHER,194,0,3,26,167,94,5,3,0.954434,0.625
195,0xc3,11000011,BALANCED|SHADOW|MIRROR|SECTION,BALANCED_SHADOW,129,0,2,60,195,60,4,4,1,0.5
102,0x66,01100110,BALANCED|TWIN|MIRROR|LEAF,BALANCED_EDGE,195,0,3,153,102,102,4,4,1,0.5
103,0x67,01100111,UNBALANCED|LEAF,UNBALANCED_OTHER,195,0,3,152,230,118,5,3,0.954434,0.625
230,0xe6,11100110,UNBALANCED|LEAF,UNBALANCED_OTHER,195,0,3,25,103,110,5,3,0.954434,0.625
231,0xe7,11100111,UNBALANCED|MIRROR|LEAF,UNBALANCED_OTHER,195,0,3,24,231,126,6,2,0.81127812,0.75

// [QUADRANT 2/4] ROOT: 0x55 (BALANCED|MOVING|TWIN|ROOT)
85,0x55,01010101,BALANCED|MOVING|TWIN|ROOT,BALANCED_ROOT,170,85,0,170,170,85,4,4,1,0.5
42,0x2a,00101010,UNBALANCED|DOMAIN,UNBALANCED_OTHER,85,85,1,213,84,162,3,5,0.954434,0.375
20,0x14,00010100,UNBALANCED|SECTION,UNBALANCED_OTHER,42,85,2,235,40,65,2,6,0.81127812,0.25
8,0x08,00001000,UNBALANCED|LEAF,UNBALANCED_EDGE,20,85,3,247,16,128,1,7,0.54356444,0.125
9,0x09,00001001,UNBALANCED|LEAF,UNBALANCED_OTHER,20,85,3,246,144,144,2,6,0.81127812,0.25
136,0x88,10001000,UNBALANCED|TWIN|LEAF,UNBALANCED_TWIN,20,85,3,119,17,136,2,6,0.81127812,0.25
137,0x89,10001001,UNBALANCED|LEAF,UNBALANCED_OTHER,20,85,3,118,145,152,3,5,0.954434,0.375
21,0x15,00010101,UNBALANCED|SECTION,UNBALANCED_OTHER,42,85,2,234,168,81,3,5,0.954434,0.375
10,0x0a,00001010,UNBALANCED|LEAF,UNBALANCED_OTHER,21,85,3,245,80,160,2,6,0.81127812,0.25
11,0x0b,00001011,UNBALANCED|LEAF,UNBALANCED_OTHER,21,85,3,244,208,176,3,5,0.954434,0.375
138,0x8a,10001010,UNBALANCED|LEAF,UNBALANCED_OTHER,21,85,3,117,81,168,3,5,0.954434,0.375
139,0x8b,10001011,BALANCED|LEAF,BALANCED_EDGE,21,85,3,116,209,184,4,4,1,0.5
148,0x94,10010100,UNBALANCED|SECTION,UNBALANCED_OTHER,42,85,2,107,41,73,3,5,0.954434,0.375
72,0x48,01001000,UNBALANCED|LEAF,UNBALANCED_OTHER,148,85,3,183,18,132,2,6,0.81127812,0.25
73,0x49,01001001,UNBALANCED|LEAF,UNBALANCED_OTHER,148,85,3,182,146,148,3,5,0.954434,0.375
200,0xc8,11001000,UNBALANCED|LEAF,UNBALANCED_OTHER,148,85,3,55,19,140,3,5,0.954434,0.375
201,0xc9,11001001,BALANCED|LEAF,BALANCED_EDGE,148,85,3,54,147,156,4,4,1,0.5
149,0x95,10010101,BALANCED|SECTION,BALANCED_EDGE,42,85,2,106,169,89,4,4,1,0.5
74,0x4a,01001010,UNBALANCED|LEAF,UNBALANCED_OTHER,149,85,3,181,82,164,3,5,0.954434,0.375
75,0x4b,01001011,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,149,85,3,180,210,180,4,4,1,0.5
202,0xca,11001010,BALANCED|LEAF,BALANCED_EDGE,149,85,3,53,83,172,4,4,1,0.5
203,0xcb,11001011,UNBALANCED|LEAF,UNBALANCED_OTHER,149,85,3,52,211,188,5,3,0.954434,0.625
43,0x2b,00101011,BALANCED|DOMAIN,BALANCED_EDGE,85,85,1,212,212,178,4,4,1,0.5
22,0x16,00010110,UNBALANCED|SECTION,UNBALANCED_OTHER,43,85,2,233,104,97,3,5,0.954434,0.375
12,0x0c,00001100,UNBALANCED|LEAF,UNBALANCED_OTHER,22,85,3,243,48,192,2,6,0.81127812,0.25
13,0x0d,00001101,UNBALANCED|LEAF,UNBALANCED_OTHER,22,85,3,242,176,208,3,5,0.954434,0.375
140,0x8c,10001100,UNBALANCED|LEAF,UNBALANCED_OTHER,22,85,3,115,49,200,3,5,0.954434,0.375
141,0x8d,10001101,BALANCED|LEAF,BALANCED_EDGE,22,85,3,114,177,216,4,4,1,0.5
23,0x17,00010111,BALANCED|SECTION,BALANCED_EDGE,43,85,2,232,232,113,4,4,1,0.5
14,0x0e,00001110,UNBALANCED|LEAF,UNBALANCED_OTHER,23,85,3,241,112,224,3,5,0.954434,0.375
15,0x0f,00001111,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,23,85,3,240,240,240,4,4,1,0.5
142,0x8e,10001110,BALANCED|LEAF,BALANCED_EDGE,23,85,3,113,113,232,4,4,1,0.5
143,0x8f,10001111,UNBALANCED|LEAF,UNBALANCED_OTHER,23,85,3,112,241,248,5,3,0.954434,0.625
150,0x96,10010110,BALANCED|SHADOW|SECTION,BALANCED_SHADOW,43,85,2,105,105,105,4,4,1,0.5
76,0x4c,01001100,UNBALANCED|LEAF,UNBALANCED_OTHER,150,85,3,179,50,196,3,5,0.954434,0.375
77,0x4d,01001101,BALANCED|LEAF,BALANCED_EDGE,150,85,3,178,178,212,4,4,1,0.5
204,0xcc,11001100,BALANCED|TWIN|LEAF,BALANCED_EDGE,150,85,3,51,51,204,4,4,1,0.5
205,0xcd,11001101,UNBALANCED|LEAF,UNBALANCED_OTHER,150,85,3,50,179,220,5,3,0.954434,0.625
151,0x97,10010111,UNBALANCED|SECTION,UNBALANCED_OTHER,43,85,2,104,233,121,5,3,0.954434,0.625
78,0x4e,01001110,BALANCED|LEAF,BALANCED_EDGE,151,85,3,177,114,228,4,4,1,0.5
79,0x4f,01001111,UNBALANCED|LEAF,UNBALANCED_OTHER,151,85,3,176,242,244,5,3,0.954434,0.625
206,0xce,11001110,UNBALANCED|LEAF,UNBALANCED_OTHER,151,85,3,49,115,236,5,3,0.954434,0.625
207,0xcf,11001111,UNBALANCED|LEAF,UNBALANCED_OTHER,151,85,3,48,243,252,6,2,0.81127812,0.75
171,0xab,10101011,UNBALANCED|DOMAIN,UNBALANCED_OTHER,85,85,1,84,213,186,5,3,0.954434,0.625
86,0x56,01010110,BALANCED|SECTION,BALANCED_EDGE,171,85,2,169,106,101,4,4,1,0.5
44,0x2c,00101100,UNBALANCED|LEAF,UNBALANCED_OTHER,86,85,3,211,52,194,3,5,0.954434,0.375
45,0x2d,00101101,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,86,85,3,210,180,210,4,4,1,0.5
172,0xac,10101100,BALANCED|LEAF,BALANCED_EDGE,86,85,3,83,53,202,4,4,1,0.5
173,0xad,10101101,UNBALANCED|LEAF,UNBALANCED_OTHER,86,85,3,82,181,218,5,3,0.954434,0.625
87,0x57,01010111,UNBALANCED|SECTION,UNBALANCED_OTHER,171,85,2,168,234,117,5,3,0.954434,0.625
46,0x2e,00101110,BALANCED|LEAF,BALANCED_EDGE,87,85,3,209,116,226,4,4,1,0.5
47,0x2f,00101111,UNBALANCED|LEAF,UNBALANCED_OTHER,87,85,3,208,244,242,5,3,0.954434,0.625
174,0xae,10101110,UNBALANCED|LEAF,UNBALANCED_OTHER,87,85,3,81,117,234,5,3,0.954434,0.625
175,0xaf,10101111,UNBALANCED|LEAF,UNBALANCED_OTHER,87,85,3,80,245,250,6,2,0.81127812,0.75
214,0xd6,11010110,UNBALANCED|SECTION,UNBALANCED_OTHER,171,85,2,41,107,109,5,3,0.954434,0.625
108,0x6c,01101100,BALANCED|LEAF,BALANCED_EDGE,214,85,3,147,54,198,4,4,1,0.5
109,0x6d,01101101,UNBALANCED|LEAF,UNBALANCED_OTHER,214,85,3,146,182,214,5,3,0.954434,0.625
236,0xec,11101100,UNBALANCED|LEAF,UNBALANCED_OTHER,214,85,3,19,55,206,5,3,0.954434,0.625
237,0xed,11101101,UNBALANCED|LEAF,UNBALANCED_OTHER,214,85,3,18,183,222,6,2,0.81127812,0.75
215,0xd7,11010111,UNBALANCED|SECTION,UNBALANCED_OTHER,171,85,2,40,235,125,6,2,0.81127812,0.75
110,0x6e,01101110,UNBALANCED|LEAF,UNBALANCED_OTHER,215,85,3,145,118,230,5,3,0.954434,0.625
111,0x6f,01101111,UNBALANCED|LEAF,UNBALANCED_OTHER,215,85,3,144,246,246,6,2,0.81127812,0.75
238,0xee,11101110,UNBALANCED|TWIN|LEAF,UNBALANCED_TWIN,215,85,3,17,119,238,6,2,0.81127812,0.75
239,0xef,11101111,UNBALANCED|LEAF,UNBALANCED_EDGE,215,85,3,16,247,254,7,1,0.54356444,0.875

// [QUADRANT 3/4] ROOT: 0xaa (BALANCED|MOVING|TWIN|ROOT)
170,0xaa,10101010,BALANCED|MOVING|TWIN|ROOT,BALANCED_ROOT,85,170,0,85,85,170,4,4,1,0.5
84,0x54,01010100,UNBALANCED|DOMAIN,UNBALANCED_OTHER,170,170,1,171,42,69,3,5,0.954434,0.375
40,0x28,00101000,UNBALANCED|SECTION,UNBALANCED_OTHER,84,170,2,215,20,130,2,6,0.81127812,0.25
16,0x10,00010000,UNBALANCED|LEAF,UNBALANCED_EDGE,40,170,3,239,8,1,1,7,0.54356444,0.125
17,0x11,00010001,UNBALANCED|TWIN|LEAF,UNBALANCED_TWIN,40,170,3,238,136,17,2,6,0.81127812,0.25
144,0x90,10010000,UNBALANCED|LEAF,UNBALANCED_OTHER,40,170,3,111,9,9,2,6,0.81127812,0.25
145,0x91,10010001,UNBALANCED|LEAF,UNBALANCED_OTHER,40,170,3,110,137,25,3,5,0.954434,0.375
41,0x29,00101001,UNBALANCED|SECTION,UNBALANCED_OTHER,84,170,2,214,148,146,3,5,0.954434,0.375
18,0x12,00010010,UNBALANCED|LEAF,UNBALANCED_OTHER,41,170,3,237,72,33,2,6,0.81127812,0.25
19,0x13,00010011,UNBALANCED|LEAF,UNBALANCED_OTHER,41,170,3,236,200,49,3,5,0.954434,0.375
146,0x92,10010010,UNBALANCED|LEAF,UNBALANCED_OTHER,41,170,3,109,73,41,3,5,0.954434,0.375
147,0x93,10010011,BALANCED|LEAF,BALANCED_EDGE,41,170,3,108,201,57,4,4,1,0.5
168,0xa8,10101000,UNBALANCED|SECTION,UNBALANCED_OTHER,84,170,2,87,21,138,3,5,0.954434,0.375
80,0x50,01010000,UNBALANCED|LEAF,UNBALANCED_OTHER,168,170,3,175,10,5,2,6,0.81127812,0.25
81,0x51,01010001,UNBALANCED|LEAF,UNBALANCED_OTHER,168,170,3,174,138,21,3,5,0.954434,0.375
208,0xd0,11010000,UNBALANCED|LEAF,UNBALANCED_OTHER,168,170,3,47,11,13,3,5,0.954434,0.375
209,0xd1,11010001,BALANCED|LEAF,BALANCED_EDGE,168,170,3,46,139,29,4,4,1,0.5
169,0xa9,10101001,BALANCED|SECTION,BALANCED_EDGE,84,170,2,86,149,154,4,4,1,0.5
82,0x52,01010010,UNBALANCED|LEAF,UNBALANCED_OTHER,169,170,3,173,74,37,3,5,0.954434,0.375
83,0x53,01010011,BALANCED|LEAF,BALANCED_EDGE,169,170,3,172,202,53,4,4,1,0.5
210,0xd2,11010010,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,169,170,3,45,75,45,4,4,1,0.5
211,0xd3,11010011,UNBALANCED|LEAF,UNBALANCED_OTHER,169,170,3,44,203,61,5,3,0.954434,0.625
212,0xd4,11010100,BALANCED|DOMAIN,BALANCED_EDGE,170,170,1,43,43,77,4,4,1,0.5
104,0x68,01101000,UNBALANCED|SECTION,UNBALANCED_OTHER,212,170,2,151,22,134,3,5,0.954434,0.375
48,0x30,00110000,UNBALANCED|LEAF,UNBALANCED_OTHER,104,170,3,207,12,3,2,6,0.81127812,0.25
49,0x31,00110001,UNBALANCED|LEAF,UNBALANCED_OTHER,104,170,3,206,140,19,3,5,0.954434,0.375
176,0xb0,10110000,UNBALANCED|LEAF,UNBALANCED_OTHER,104,170,3,79,13,11,3,5,0.954434,0.375
177,0xb1,10110001,BALANCED|LEAF,BALANCED_EDGE,104,170,3,78,141,27,4,4,1,0.5
105,0x69,01101001,BALANCED|SHADOW|SECTION,BALANCED_SHADOW,212,170,2,150,150,150,4,4,1,0.5
50,0x32,00110010,UNBALANCED|LEAF,UNBALANCED_OTHER,105,170,3,205,76,35,3,5,0.954434,0.375
51,0x33,00110011,BALANCED|TWIN|LEAF,BALANCED_EDGE,105,170,3,204,204,51,4,4,1,0.5
178,0xb2,10110010,BALANCED|LEAF,BALANCED_EDGE,105,170,3,77,77,43,4,4,1,0.5
179,0xb3,10110011,UNBALANCED|LEAF,UNBALANCED_OTHER,105,170,3,76,205,59,5,3,0.954434,0.625
232,0xe8,11101000,BALANCED|SECTION,BALANCED_EDGE,212,170,2,23,23,142,4,4,1,0.5
112,0x70,01110000,UNBALANCED|LEAF,UNBALANCED_OTHER,232,170,3,143,14,7,3,5,0.954434,0.375
113,0x71,01110001,BALANCED|LEAF,BALANCED_EDGE,232,170,3,142,142,23,4,4,1,0.5
240,0xf0,11110000,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,232,170,3,15,15,15,4,4,1,0.5
241,0xf1,11110001,UNBALANCED|LEAF,UNBALANCED_OTHER,232,170,3,14,143,31,5,3,0.954434,0.625
233,0xe9,11101001,UNBALANCED|SECTION,UNBALANCED_OTHER,212,170,2,22,151,158,5,3,0.954434,0.625
114,0x72,01110010,BALANCED|LEAF,BALANCED_EDGE,233,170,3,141,78,39,4,4,1,0.5
115,0x73,01110011,UNBALANCED|LEAF,UNBALANCED_OTHER,233,170,3,140,206,55,5,3,0.954434,0.625
242,0xf2,11110010,UNBALANCED|LEAF,UNBALANCED_OTHER,233,170,3,13,79,47,5,3,0.954434,0.625
243,0xf3,11110011,UNBALANCED|LEAF,UNBALANCED_OTHER,233,170,3,12,207,63,6,2,0.81127812,0.75
213,0xd5,11010101,UNBALANCED|DOMAIN,UNBALANCED_OTHER,170,170,1,42,171,93,5,3,0.954434,0.625
106,0x6a,01101010,BALANCED|SECTION,BALANCED_EDGE,213,170,2,149,86,166,4,4,1,0.5
52,0x34,00110100,UNBALANCED|LEAF,UNBALANCED_OTHER,106,170,3,203,44,67,3,5,0.954434,0.375
53,0x35,00110101,BALANCED|LEAF,BALANCED_EDGE,106,170,3,202,172,83,4,4,1,0.5
180,0xb4,10110100,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,106,170,3,75,45,75,4,4,1,0.5
181,0xb5,10110101,UNBALANCED|LEAF,UNBALANCED_OTHER,106,170,3,74,173,91,5,3,0.954434,0.625
107,0x6b,01101011,UNBALANCED|SECTION,UNBALANCED_OTHER,213,170,2,148,214,182,5,3,0.954434,0.625
54,0x36,00110110,BALANCED|LEAF,BALANCED_EDGE,107,170,3,201,108,99,4,4,1,0.5
55,0x37,00110111,UNBALANCED|LEAF,UNBALANCED_OTHER,107,170,3,200,236,115,5,3,0.954434,0.625
182,0xb6,10110110,UNBALANCED|LEAF,UNBALANCED_OTHER,107,170,3,73,109,107,5,3,0.954434,0.625
183,0xb7,10110111,UNBALANCED|LEAF,UNBALANCED_OTHER,107,170,3,72,237,123,6,2,0.81127812,0.75
234,0xea,11101010,UNBALANCED|SECTION,UNBALANCED_OTHER,213,170,2,21,87,174,5,3,0.954434,0.625
116,0x74,01110100,BALANCED|LEAF,BALANCED_EDGE,234,170,3,139,46,71,4,4,1,0.5
117,0x75,01110101,UNBALANCED|LEAF,UNBALANCED_OTHER,234,170,3,138,174,87,5,3,0.954434,0.625
244,0xf4,11110100,UNBALANCED|LEAF,UNBALANCED_OTHER,234,170,3,11,47,79,5,3,0.954434,0.625
245,0xf5,11110101,UNBALANCED|LEAF,UNBALANCED_OTHER,234,170,3,10,175,95,6,2,0.81127812,0.75
235,0xeb,11101011,UNBALANCED|SECTION,UNBALANCED_OTHER,213,170,2,20,215,190,6,2,0.81127812,0.75
118,0x76,01110110,UNBALANCED|LEAF,UNBALANCED_OTHER,235,170,3,137,110,103,5,3,0.954434,0.625
119,0x77,01110111,UNBALANCED|TWIN|LEAF,UNBALANCED_TWIN,235,170,3,136,238,119,6,2,0.81127812,0.75
246,0xf6,11110110,UNBALANCED|LEAF,UNBALANCED_OTHER,235,170,3,9,111,111,6,2,0.81127812,0.75
247,0xf7,11110111,UNBALANCED|LEAF,UNBALANCED_EDGE,235,170,3,8,239,127,7,1,0.54356444,0.875

// [QUADRANT 4/4] ROOT: 0xff (UNBALANCED|ABSTRACT|TWIN|MIRROR|ROOT)
255,0xff,11111111,UNBALANCED|ABSTRACT|TWIN|MIRROR|ROOT,UNBALANCED_ROOT,255,255,0,0,255,255,8,0,0,1
126,0x7e,01111110,UNBALANCED|MIRROR|DOMAIN,UNBALANCED_OTHER,255,255,1,129,126,231,6,2,0.81127812,0.75
60,0x3c,00111100,BALANCED|SHADOW|MIRROR|SECTION,BALANCED_SHADOW,126,255,2,195,60,195,4,4,1,0.5
24,0x18,00011000,UNBALANCED|MIRROR|LEAF,UNBALANCED_OTHER,60,255,3,231,24,129,2,6,0.81127812,0.25
25,0x19,00011001,UNBALANCED|LEAF,UNBALANCED_OTHER,60,255,3,230,152,145,3,5,0.954434,0.375
152,0x98,10011000,UNBALANCED|LEAF,UNBALANCED_OTHER,60,255,3,103,25,137,3,5,0.954434,0.375
153,0x99,10011001,BALANCED|TWIN|MIRROR|LEAF,BALANCED_EDGE,60,255,3,102,153,153,4,4,1,0.5
61,0x3d,00111101,UNBALANCED|SECTION,UNBALANCED_OTHER,126,255,2,194,188,211,5,3,0.954434,0.625
26,0x1a,00011010,UNBALANCED|LEAF,UNBALANCED_OTHER,61,255,3,229,88,161,3,5,0.954434,0.375
27,0x1b,00011011,BALANCED|LEAF,BALANCED_EDGE,61,255,3,228,216,177,4,4,1,0.5
154,0x9a,10011010,BALANCED|LEAF,BALANCED_EDGE,61,255,3,101,89,169,4,4,1,0.5
155,0x9b,10011011,UNBALANCED|LEAF,UNBALANCED_OTHER,61,255,3,100,217,185,5,3,0.954434,0.625
188,0xbc,10111100,UNBALANCED|SECTION,UNBALANCED_OTHER,126,255,2,67,61,203,5,3,0.954434,0.625
88,0x58,01011000,UNBALANCED|LEAF,UNBALANCED_OTHER,188,255,3,167,26,133,3,5,0.954434,0.375
89,0x59,01011001,BALANCED|LEAF,BALANCED_EDGE,188,255,3,166,154,149,4,4,1,0.5
216,0xd8,11011000,BALANCED|LEAF,BALANCED_EDGE,188,255,3,39,27,141,4,4,1,0.5
217,0xd9,11011001,UNBALANCED|LEAF,UNBALANCED_OTHER,188,255,3,38,155,157,5,3,0.954434,0.625
189,0xbd,10111101,UNBALANCED|MIRROR|SECTION,UNBALANCED_OTHER,126,255,2,66,189,219,6,2,0.81127812,0.75
90,0x5a,01011010,BALANCED|SHADOW|MIRROR|LEAF,BALANCED_SHADOW,189,255,3,165,90,165,4,4,1,0.5
91,0x5b,01011011,UNBALANCED|LEAF,UNBALANCED_OTHER,189,255,3,164,218,181,5,3,0.954434,0.625
218,0xda,11011010,UNBALANCED|LEAF,UNBALANCED_OTHER,189,255,3,37,91,173,5,3,0.954434,0.625
219,0xdb,11011011,UNBALANCED|MIRROR|LEAF,UNBALANCED_OTHER,189,255,3,36,219,189,6,2,0.81127812,0.75
127,0x7f,01111111,UNBALANCED|DOMAIN,UNBALANCED_EDGE,255,255,1,128,254,247,7,1,0.54356444,0.875
62,0x3e,00111110,UNBALANCED|SECTION,UNBALANCED_OTHER,127,255,2,193,124,227,5,3,0.954434,0.625
